video,frame_id,timestamp_sec,person_count,density_pct,density_change_rate,mean_motion_speed,max_motion_speed,direction_variance,flow_irregularity,heuristic_risk_score,heuristic_risk_level,ground_truth_risk_level,ground_truth_person_count
seq_01_normal_flow.mp4,41,2.05,17,23.8,-0.13,0.95,1.5,0.049,4.2,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,42,2.1,17,23.8,-0.24,0.91,1.36,0.053,4.5,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,43,2.15,17,23.8,-0.12,0.99,1.52,0.053,5.0,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,44,2.2,17,23.8,-0.3,0.89,1.71,0.042,4.0,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,45,2.25,17,23.8,-0.28,0.9,1.31,0.067,5.8,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,46,2.3,17,23.8,-0.16,0.88,1.23,0.023,2.0,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,47,2.35,17,23.8,-0.08,0.97,1.61,0.039,4.1,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,48,2.4,17,23.8,-0.07,0.88,1.38,0.106,8.3,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,49,2.45,17,23.8,-0.14,0.91,1.3,0.059,5.1,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,50,2.5,17,23.8,-0.07,0.93,1.6,0.016,1.6,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,51,2.55,17,23.8,-0.01,0.96,1.57,0.045,4.3,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,52,2.6,17,23.8,-0.07,0.98,1.59,0.076,6.8,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,53,2.65,17,23.7,-0.08,0.93,1.67,0.027,2.3,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,54,2.7,17,23.8,0.01,1.02,1.71,0.055,4.7,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,55,2.75,17,23.8,0.01,0.92,1.57,0.067,6.3,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,56,2.8,17,23.8,-0.07,0.95,1.5,0.059,4.9,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,57,2.85,17,23.7,-0.1,0.88,1.24,0.038,3.6,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,58,2.9,17,23.7,-0.04,0.9,1.46,0.058,5.6,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,59,2.95,16,22.4,-1.33,1.58,12.08,0.027,8.2,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,60,3.0,16,22.4,-1.35,0.88,1.43,0.105,9.0,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,61,3.05,15,21.2,-2.53,1.15,4.68,0.058,6.5,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,62,3.1,15,21.2,-2.55,0.97,1.77,0.053,5.1,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,63,3.15,15,21.2,-2.55,0.95,1.56,0.075,6.2,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,64,3.2,15,21.2,-2.62,0.92,1.45,0.055,5.2,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,65,3.25,14,20.1,-3.63,1.51,11.64,0.103,21.9,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,66,3.3,14,20.1,-3.58,0.9,1.47,0.044,3.8,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,67,3.35,14,20.1,-3.6,0.95,1.4,0.038,3.5,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,68,3.4,13,19.1,-3.37,1.53,18.16,0.129,35.2,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,69,3.45,13,19.0,-3.41,0.92,1.41,0.056,5.3,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,70,3.5,13,19.1,-2.17,0.89,1.46,0.06,5.2,13.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,71,3.55,12,16.4,-4.79,0.87,1.28,0.012,1.1,13.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,72,3.6,12,16.4,-4.87,0.91,1.44,0.112,10.5,13.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,73,3.65,12,16.4,-4.79,0.94,1.38,0.023,2.4,13.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,74,3.7,12,16.4,-3.73,0.85,1.4,0.02,1.9,13.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,75,3.75,12,16.4,-3.78,0.98,1.49,0.061,5.5,13.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,76,3.8,12,16.4,-3.74,0.94,1.65,0.055,4.7,13.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,77,3.85,13,17.5,-1.51,1.27,7.39,0.025,3.0,13.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,78,3.9,12,16.4,-2.55,1.57,13.27,0.085,17.1,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,79,3.95,12,16.4,-2.67,1.0,1.56,0.031,3.2,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,80,4.0,12,16.4,-0.0,0.94,1.47,0.08,7.0,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,81,4.05,12,16.4,0.02,0.91,1.58,0.029,2.8,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,82,4.1,12,16.4,0.02,0.86,1.22,0.071,6.5,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,83,4.15,12,16.4,-0.01,0.91,1.66,0.038,3.9,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,84,4.2,12,16.3,-0.02,0.95,1.8,0.068,5.3,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,85,4.25,12,16.4,-0.03,0.92,1.46,0.093,7.8,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,86,4.3,12,16.4,-1.17,0.99,1.67,0.039,3.6,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,87,4.35,12,16.4,-0.04,0.97,1.99,0.082,6.9,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,88,4.4,11,14.6,-1.8,0.96,1.6,0.089,7.3,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,89,4.45,12,16.4,0.05,0.9,1.54,0.053,4.5,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,90,4.5,11,14.6,-1.77,0.91,1.46,0.061,5.4,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,91,4.55,11,14.6,-1.76,0.98,1.63,0.052,5.4,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,92,4.6,11,14.6,-1.75,0.9,1.17,0.02,2.0,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,93,4.65,11,14.6,-1.7,0.89,1.47,0.066,5.5,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,94,4.7,15,18.0,1.66,1.3,8.56,0.05,5.3,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,95,4.75,15,18.0,1.65,0.91,1.57,0.088,7.7,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,96,4.8,15,18.0,1.62,0.89,1.47,0.064,6.8,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,97,4.85,15,18.0,3.42,0.9,1.22,0.016,1.6,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,98,4.9,15,18.0,1.59,0.89,1.28,0.07,5.9,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,99,4.95,15,18.0,3.4,0.96,1.64,0.062,5.6,13.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,100,5.0,15,18.0,3.38,0.91,1.45,0.061,5.6,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,101,5.05,15,18.0,3.38,0.95,1.52,0.036,3.3,14.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,102,5.1,15,18.0,3.38,1.05,1.94,0.029,2.9,14.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,103,5.15,15,18.0,0.0,0.99,1.7,0.072,6.3,14.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,104,5.2,16,19.1,1.1,1.27,5.83,0.022,3.3,14.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,105,5.25,17,20.3,2.3,1.03,2.06,0.072,9.6,14.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,106,5.3,17,20.3,2.3,0.89,1.41,0.066,5.9,14.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,107,5.35,17,20.3,2.3,1.0,1.59,0.047,4.6,14.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,108,5.4,17,20.3,2.3,0.89,1.46,0.047,4.3,14.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,109,5.45,17,20.3,2.3,1.04,1.71,0.035,3.6,14.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,110,5.5,17,20.3,2.3,0.92,1.51,0.057,5.1,14.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,111,5.55,16,20.5,2.46,0.98,1.78,0.056,5.0,14.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,112,5.6,16,20.5,2.49,0.97,1.75,0.048,4.1,14.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,113,5.65,16,20.5,1.34,0.97,1.71,0.074,6.7,14.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,114,5.7,17,24.1,3.77,0.91,1.47,0.049,5.0,14.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,115,5.75,18,24.2,3.88,0.93,1.42,0.059,4.9,14.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,116,5.8,18,24.2,3.88,0.92,1.56,0.056,4.9,15.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,117,5.85,18,24.2,3.88,0.97,1.38,0.024,2.5,15.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,118,5.9,19,24.1,3.81,0.97,1.4,0.069,6.5,15.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,119,5.95,19,24.2,3.86,0.92,1.5,0.045,4.0,15.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,120,6.0,18,24.2,3.73,0.95,1.62,0.021,2.1,15.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,121,6.05,17,22.9,2.41,1.17,7.66,0.075,13.5,15.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,122,6.1,18,23.0,2.49,0.94,1.29,0.065,5.9,15.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,123,6.15,19,24.0,-0.1,1.2,8.23,0.029,6.2,15.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,124,6.2,19,24.0,-0.21,0.9,1.51,0.033,3.1,15.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,125,6.25,19,24.0,-0.17,0.9,1.48,0.046,4.2,14.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,126,6.3,19,24.0,-0.17,0.93,1.53,0.083,7.2,14.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,127,6.35,19,24.1,-0.08,0.97,1.85,0.031,2.6,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,128,6.4,19,24.1,-0.1,0.97,1.59,0.059,5.6,13.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,129,6.45,18,21.4,-2.78,1.37,6.99,0.092,23.6,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,130,6.5,17,21.5,-1.41,0.97,1.62,0.066,5.1,12.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,131,6.55,17,21.6,-1.39,0.96,1.65,0.039,3.8,12.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,132,6.6,17,21.6,-2.43,0.91,1.27,0.051,5.0,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,133,6.65,17,21.6,-2.43,0.94,1.38,0.055,5.1,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,134,6.7,17,21.6,-2.48,0.91,1.45,0.064,5.6,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,135,6.75,17,21.5,-2.5,0.95,1.44,0.027,2.7,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,136,6.8,17,21.5,-2.52,0.92,1.57,0.059,4.8,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,137,6.85,19,22.6,-1.44,1.28,8.78,0.076,9.4,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,138,6.9,19,22.6,1.2,0.89,1.55,0.109,9.3,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,139,6.95,19,22.7,1.14,0.87,1.38,0.088,7.4,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,140,7.0,19,22.6,1.08,0.92,1.42,0.033,2.7,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,141,7.05,19,22.6,1.08,0.89,1.51,0.069,6.8,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,142,7.1,19,22.6,1.08,0.99,1.63,0.042,3.5,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,143,7.15,19,22.6,1.08,0.89,1.34,0.045,3.8,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,144,7.2,19,22.6,1.1,0.96,1.62,0.059,5.3,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,145,7.25,19,22.6,1.1,0.86,1.5,0.087,7.7,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,146,7.3,18,22.8,0.13,0.87,1.18,0.04,3.7,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,147,7.35,18,22.8,0.16,0.92,1.48,0.027,2.5,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,148,7.4,19,22.6,-0.01,0.87,1.15,0.08,7.5,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,149,7.45,18,21.4,-1.2,1.17,5.72,0.072,24.1,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,150,7.5,17,21.6,-1.04,0.94,1.53,0.031,2.7,12.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,151,7.55,17,21.6,-1.04,0.92,1.57,0.051,4.5,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,152,7.6,17,21.6,-1.04,0.99,1.91,0.054,5.0,11.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,153,7.65,17,21.6,-1.04,0.93,1.78,0.044,3.6,11.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,154,7.7,17,21.6,-1.06,1.02,1.72,0.057,5.3,11.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,155,7.75,17,21.6,-1.14,0.97,1.52,0.034,3.0,11.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,156,7.8,19,22.7,-0.07,1.25,9.61,0.029,4.8,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,157,7.85,18,21.6,-1.02,1.52,12.19,0.08,21.3,12.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,158,7.9,17,21.8,0.37,0.85,1.28,0.044,3.9,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,159,7.95,17,21.8,0.21,0.94,1.53,0.031,3.2,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,160,8.0,17,21.8,0.21,0.97,1.77,0.078,6.3,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,161,8.05,17,21.8,0.19,0.95,1.51,0.03,3.0,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,162,8.1,17,22.9,1.26,1.33,12.51,0.108,29.7,12.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,163,8.15,18,23.0,1.38,0.93,1.51,0.093,8.2,12.1,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,164,8.2,18,23.0,1.33,0.94,1.63,0.071,6.3,12.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,165,8.25,18,22.9,0.2,0.9,1.49,0.052,4.4,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,166,8.3,19,24.3,2.65,1.15,6.56,0.063,13.7,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,167,8.35,19,24.3,2.46,0.95,1.4,0.037,3.9,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,168,8.4,19,24.3,2.46,0.9,1.37,0.031,2.7,13.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,169,8.45,18,24.0,2.14,0.91,1.5,0.084,7.4,13.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,170,8.5,18,24.1,2.26,0.93,1.48,0.03,2.7,13.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,171,8.55,17,23.9,1.02,0.95,1.5,0.023,2.2,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,172,8.6,18,24.0,1.03,0.91,1.26,0.063,6.1,13.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,173,8.65,16,21.7,-1.25,0.86,1.26,0.055,4.5,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,174,8.7,17,23.8,0.9,0.94,1.52,0.052,4.7,13.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,175,8.75,17,23.7,-0.54,0.89,1.47,0.058,5.5,13.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,176,8.8,16,21.7,-2.57,0.95,1.5,0.023,1.9,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,177,8.85,16,21.7,-2.63,1.01,1.9,0.025,2.4,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,178,8.9,16,24.5,0.56,0.94,1.69,0.05,5.2,12.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,179,8.95,17,21.4,-2.64,0.99,1.57,0.04,3.8,12.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,180,9.0,16,21.7,-2.17,0.97,1.52,0.031,2.9,12.2,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,181,9.05,16,21.7,-2.29,0.95,1.64,0.06,5.2,12.3,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,182,9.1,15,23.2,1.45,1.19,6.09,0.079,11.5,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,183,9.15,15,23.1,-0.7,0.92,1.43,0.026,2.7,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,184,9.2,14,22.8,-0.91,0.94,1.5,0.039,3.5,12.4,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,185,9.25,14,22.8,1.13,0.97,1.6,0.054,4.6,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,186,9.3,14,22.8,1.14,0.92,1.66,0.034,3.0,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,187,9.35,15,22.1,-2.37,0.96,1.58,0.066,5.6,12.5,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,188,9.4,15,22.9,1.44,0.93,1.8,0.096,10.6,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,189,9.45,15,22.9,1.15,0.91,1.42,0.071,6.1,12.6,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,190,9.5,14,23.3,1.58,0.91,1.46,0.044,4.6,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,191,9.55,15,22.8,-0.36,0.93,1.53,0.032,3.0,13.0,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,192,9.6,15,21.9,-1.2,1.01,1.97,0.098,13.0,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,193,9.65,14,22.3,-0.57,0.95,1.32,0.034,3.5,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,194,9.7,16,21.6,-1.29,0.98,1.61,0.047,4.2,12.8,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,195,9.75,16,21.6,-1.19,0.89,1.24,0.041,3.8,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,196,9.8,16,21.6,-0.57,0.88,1.52,0.029,2.5,12.7,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,197,9.85,15,20.2,-2.64,1.71,15.78,0.133,46.2,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,198,9.9,15,20.2,-2.66,0.91,1.32,0.067,6.0,12.9,NORMAL,NORMAL,22
seq_01_normal_flow.mp4,199,9.95,13,17.6,-5.72,1.83,12.58,0.119,29.7,13.1,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,0,0.0,19,24.4,1.58,7.39,20.45,0.918,87.5,16.2,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,1,0.05,19,24.3,2.36,0.87,1.23,0.918,89.2,16.8,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,2,0.1,19,24.2,1.97,0.89,1.25,0.896,83.8,17.3,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,3,0.15,19,24.3,2.73,0.91,1.52,0.861,78.0,17.7,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,4,0.2,19,24.3,2.74,0.88,1.32,0.962,89.8,18.2,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,5,0.25,19,24.4,2.78,0.92,1.57,0.919,91.4,18.9,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,6,0.3,19,24.5,4.24,0.96,1.59,0.908,87.8,19.1,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,7,0.35,19,24.5,4.32,0.98,1.58,0.95,94.2,19.3,NORMAL,NORMAL,22
seq_02_bottleneck_congestion.mp4,8,0.4,19,24.6,7.01,0.98,1.61,0.87,84.6,19.5,NORMAL,NORMAL,22
